SMMS_id,department,corridor_id,station_code,km_post,defect_code,description,severity,asset_criticality,reported_date,due_date,overdue_days,estimated_duration_min,requires_traffic_block,gang_size,traffic_gmt,status
SMMS-00154,SNT,COR-NDLS-CNB,TDL,205.36,CABLE_FAULT,Signalling cable fault rectification,4,3,2026-08-29,2026-09-05,0,162,True,3,95,PENDING
SMMS-00155,SNT,COR-BRC-ST,BH,71.21,POINT_MACHINE,Electric point machine overhaul,4,4,2026-09-04,2026-09-11,0,228,True,3,78,IN_PROGRESS
SMMS-00156,SNT,COR-NDLS-CNB,CNB,441.8,INTERLOCKING_TEST,Interlocking periodic testing,4,3,2026-08-11,2026-08-26,10,195,True,4,95,COMPLETED
SMMS-00157,SNT,COR-BRC-ST,ST,130.57,INTERLOCKING_TEST,Interlocking periodic testing,3,2,2026-09-05,2026-09-20,0,234,True,4,78,PENDING
SMMS-00158,SNT,COR-SBC-JTJ,SBC,-1.82,BLOCK_INSTRUMENT,Block instrument / telecom repair,1,1,2026-08-18,2026-09-17,0,81,False,2,65,COMPLETED
SMMS-00159,SNT,COR-NDLS-CNB,GZB,22.67,CABLE_FAULT,Signalling cable fault rectification,4,4,2026-08-09,2026-08-16,20,175,True,3,95,PENDING
SMMS-00160,SNT,COR-NDLS-CNB,GZB,23.98,BLOCK_INSTRUMENT,Block instrument / telecom repair,2,3,2026-09-03,2026-10-03,0,93,False,2,95,PENDING
SMMS-00161,SNT,COR-SBC-JTJ,SBC,0.57,INTERLOCKING_TEST,Interlocking periodic testing,3,2,2026-08-19,2026-09-03,2,197,True,4,65,PENDING
SMMS-00162,SNT,COR-HWH-ASN,HWH,-0.66,AXLE_COUNTER,Axle counter reset / replacement,3,4,2026-08-23,2026-09-07,0,80,False,2,92,PENDING
SMMS-00163,SNT,COR-NDLS-CNB,CNB,441.37,TRACK_CIRCUIT,Track circuit tuning / repair,2,4,2026-08-29,2026-09-13,0,140,True,3,95,PENDING
SMMS-00164,SNT,COR-BSL-NGP,BSL,0.04,BLOCK_INSTRUMENT,Block instrument / telecom repair,2,2,2026-09-03,2026-10-03,0,66,False,2,84,PENDING
SMMS-00165,SNT,COR-SBC-JTJ,JTJ,146.42,BLOCK_INSTRUMENT,Block instrument / telecom repair,2,3,2026-08-16,2026-09-15,0,75,False,2,65,COMPLETED
SMMS-00166,SNT,COR-SBC-JTJ,KPN,109.93,AXLE_COUNTER,Axle counter reset / replacement,3,3,2026-09-01,2026-09-16,0,107,False,2,65,PENDING
SMMS-00167,SNT,COR-CNB-DDU,ALD,632.47,INTERLOCKING_TEST,Interlocking periodic testing,3,4,2026-08-29,2026-09-13,0,227,True,4,88,PENDING
SMMS-00168,SNT,COR-HWH-ASN,BWN,105.04,BLOCK_INSTRUMENT,Block instrument / telecom repair,2,5,2026-08-28,2026-09-27,0,76,False,2,92,PENDING
SMMS-00169,SNT,COR-BRC-ST,BRC,-1.44,SIGNAL_LAMP_FAIL,Colour-light signal lamp failure,4,2,2026-09-05,2026-09-12,0,41,False,2,78,PENDING
SMMS-00170,SNT,COR-NDLS-CNB,ALJN,131.35,INTERLOCKING_TEST,Interlocking periodic testing,4,4,2026-09-02,2026-09-17,0,232,True,4,95,PENDING
SMMS-00171,SNT,COR-NDLS-CNB,NDLS,-1.21,INTERLOCKING_TEST,Interlocking periodic testing,3,3,2026-07-22,2026-08-06,30,231,True,4,95,PENDING
SMMS-00172,SNT,COR-BSL-NGP,BSL,0.78,TRACK_CIRCUIT,Track circuit tuning / repair,4,2,2026-08-25,2026-09-09,0,92,True,3,84,COMPLETED
SMMS-00173,SNT,COR-SBC-JTJ,KPN,111.16,BLOCK_INSTRUMENT,Block instrument / telecom repair,2,1,2026-07-22,2026-08-21,15,64,False,2,65,PENDING
SMMS-00174,SNT,COR-NDLS-CNB,NDLS,-0.36,CABLE_FAULT,Signalling cable fault rectification,4,4,2026-08-24,2026-08-31,5,112,True,3,95,IN_PROGRESS
SMMS-00175,SNT,COR-HWH-ASN,BWN,108.8,LC_GATE_SIGNAL,Level-crossing gate signal attention,3,5,2026-07-22,2026-08-06,30,121,False,2,92,IN_PROGRESS
SMMS-00176,SNT,COR-BRC-ST,ST,130.3,LC_GATE_SIGNAL,Level-crossing gate signal attention,3,3,2026-09-05,2026-09-20,0,145,False,2,78,IN_PROGRESS
SMMS-00177,SNT,COR-BRC-ST,ST,131.85,LC_GATE_SIGNAL,Level-crossing gate signal attention,3,3,2026-08-27,2026-09-11,0,132,False,2,78,COMPLETED
SMMS-00178,SNT,COR-NDLS-CNB,TDL,203.41,TRACK_CIRCUIT,Track circuit tuning / repair,3,3,2026-08-19,2026-09-03,2,107,True,3,95,PENDING
SMMS-00179,SNT,COR-NDLS-CNB,ALJN,128.66,LC_GATE_SIGNAL,Level-crossing gate signal attention,4,4,2026-08-26,2026-09-10,0,101,False,2,95,PENDING
SMMS-00180,SNT,COR-NDLS-CNB,TDL,203.74,AXLE_COUNTER,Axle counter reset / replacement,3,5,2026-08-10,2026-08-25,11,90,False,2,95,PENDING
